ID	FRW	FRL	FRD	PET	PEW	PUP	SEL	SED	SEW	PRO	SAC	GLU	FRU
GCA01	84.5	59.36	52.31	2.47	29.4	60.99	15.85	11.11	3.56	0.7	2.6	2.6	3
GCA02	63.5	45.65	49.04	2.46	22.3	57.4	17.97	12.29	4.75	0.8	4	2.4	2.8
GCA03	69.2	50.59	49.16	2.58	26.6	53.15	19.71	12.24	5.82	0.6	4.3	2.5	2.6
CRI04	97.5	54.5	56.39	3.02	35.3	60.2	16.4	11.05	3.5	0.9	3.3	2.3	2.9
CRI05	110.7	57.53	56.32	2.74	32.3	67.75	18.47	11.57	3.4	0.7	4.5	2.6	3
CRI06	94.9	53.83	55.88	2.73	32.9	61.16	16.05	11.14	3.95	1.2	4.4	2.4	3
CRI07	87.8	52.41	52.51	2.33	28.4	61.44	22.73	11.91	5.45	0.7	5.8	2.9	3.1
CRI08	125.4	61.95	61.76	2.91	42.4	61.72	17.29	12.46	5.6	0.5	5	2.1	2.5
CRI09	87.4	54.96	52.52	2.04	26.6	62.58	15.55	12.25	6.1	0.5	4.6	2	2.3
CRI10	84.8	54.59	51.64	3.32	35.3	53.18	19.04	12.25	4.4	0.7	7.2	2.2	2.2
CRI11	132.6	64.59	59.76	4.58	57.5	53.83	20.44	12.92	3.71	0.5	5.1	2.6	2.8
CRI12	112	54.25	60.49	3.31	37.1	62.9	17.95	12.77	4.45	0.5	7	2.2	2.4
CRI13	54.25	47.43	45	3.24	22.1	54.54	18.67	10.28	2.56	0.6	4.1	1.8	1.9
CRI14	122.9	57.96	55.29	2.75	36.8	65.86	22.06	13.08	5.15	0.7	5.6	3.1	3.2
CRI15	75.3	47.19	50.64	2.87	22.4	61.88	19.46	12.55	6.3	0.8	4.8	2.3	2.5
MEX16	42.8	42.84	42.51	1.79	14.9	54.78	16.1	11.03	4.45	0.9	1.5	2	2.5
MEX17	63.4	47.25	48.45	2.62	20.6	61.79	16.98	11.62	3.62	0.9	3.2	2.5	3
GCA18	71.1	49.3	50.37	1.68	21.1	65.28	17.33	11.24	3.58	0.7	6.9	1.8	2.1
GCA19	103	54.72	57.66	2.63	38.2	59.56	17.07	12.43	3.45	0.7	5.7	2.3	2.7
GCA20	46.5	40.41	44.01	2.57	14.9	59.84	17.66	11.09	2.01	0.9	4.2	2	2.3
GCA21	62.2	50.45	45.09	2.12	21.3	59.08	16.73	11.56	4.5	0.6	5.4	1.9	2
GCA22	47.5	45.22	43.49	2.03	18	57.87	17.65	11.09	2.01	1.1	3.9	2.2	2.5
CRI23	237.4	72.38	75.82	2.15	58.6	72.6	19.81	12.47	6.43	0.5	5.5	2.3	2.6
CRI24	244.7	74.26	78.75	4.26	81	63.25	22.6	16.26	8.91	0.7	4.3	2.2	2.7
CRI25	113.6	56.46	58.98	2.34	38	58.33	20.11	13.91	8.2	0.5	5.7	2.1	2.2
CRI26	85.9	55.12	52.29	2.42	28.9	60.98	17.61	12.04	4.61	0.9	5.3	2	2.2
CRI27	71	51.09	49.52	3.49	25.3	57.03	18.03	11.65	5.21	0.5	6.2	1.8	1.8
CRI28	75.4	51.86	51.55	2.78	30.1	55.13	12.92	11.96	3.73	0.5	3	1.7	2.3
CRI29	152.3	64.2	64.6	3.77	57.4	58.3	21.13	13.4	6.12	0.5	1.7	2.9	3.5
CRI30	66.06	47.5	48.98	2.72	24	57.25	21.1	12.23	4.24	0.3	4.9	2.7	2.9
CRI31	119.1	62.9	57.47	2.68	35.6	66.25	18.54	12.33	4.6	0.6	4.4	2.5	2.9
CRI32	158	72.87	66.79	4.64	61.8	57.31	17.03	11.76	5.65	0.4	4.5	2.5	3
CRI33	45.63	48.63	42.63	1.95	16.13	54.2	18.3	11.32	4.77	0.6	2.9	2.9	3.3
CRI34	66.2	52.76	49.93	2.93	23	57.37	18.16	10.99	5.25	0.5	3.9	1.8	2.2
CRI35	191.3	69.48	69.04	3.35	55.8	67.95	21.32	13.51	4.8	0.5	6.4	2.1	2.4
CRI36	158.7	69.92	65.24	3.21	49.5	65.25	16.97	13.1	5.65	0.5	1.7	2.5	2.7
CRI37	117.6	63.8	59.49	2.97	43.8	58.55	19.49	13.49	4.95	0.6	1.6	3.1	3.2
CRI38	128.8	60.96	62.5	2.52	40.4	62.19	19.64	12.36	8.3	0.4	4.7	2.9	3.3
CRI39	117.5	65.28	58.94	3.06	48.9	55.13	19.06	12.91	5.82	0.4	5	3	3.3
CRI40	123.6	62.88	59.74	2.79	42.9	61.4	20.23	12.24	4.8	0.5	4.7	2.6	2.9
GCA41	70.4	49	49.87	2.56	25.4	57.5	18.54	12.82	4.52	0.6	4.6	2.1	2.4
GCA42	62	47.44	47.08	2.74	23.1	55.4	17.5	12.51	4.55	0.6	3.8	2.1	2.4
GCA43	94.6	55.24	54.35	2.57	31.3	62.56	19.58	13.2	4.12	0.5	5.6	2.3	2.5
GCA44	77.9	50.72	47.31	1.23	17.5	71.84	18.53	12.56	4.44	0.5	4	3	3.4
GCA45	81.9	58.07	54.63	1.74	23	58.3	18.94	12.91	5.32	0.4	3.4	2.6	3
GCA46	128.6	57.11	62.09	1.77	32.2	70.29	22.22	13.17	6	0.5	5	2.7	3.2
CRI47	76.7	53.71	49.76	2.66	29.1	57.12	15.84	10.92	3.79	0.5	4.3	2.7	3.3
CRI48	97.8	59.74	54.56	2.63	34.1	60.48	16.68	11.72	4.55	0.5	4.5	2.6	3.1
CRI49	103.2	66.71	55.88	1.94	32	63.23	18.56	12.26	5.95	0.8	4.4	2.1	2.5
