ID	PFR	CFR	DFR	EPO	ECA	PCA	RPO	NSE	CSE	DSE	PSE	CFO	LFO	AAR	DAR	DCO	PRO	SAC	GLU	FRU
CRI01	390.9	97.2	88.3	30	1.8	47.6	79.5	1.1	62.5	32.4	32	21.6	8.9	11	21.3	8.9	1.4	13.1	3.6	2.8
CRI02	338.5	104.4	78.1	28	1.9	42.8	78.3	1	62.2	29.5	30.7	28	6.9	5.1	24.5	6.9	1.3	19.1	3.1	2.9
CRI03	573.4	117.3	97.6	35.9	2.2	70.2	81.3	1	66	23	34.3	36.8	8.6	9.3	24.8	8	1.2	17.6	3.6	3.5
CRI04	220.3	73.6	73.6	19.6	1.7	32	68.5	1.7	49.3	33.8	37.4	24	8.8	5.3	22.9	5.3	1.1	14.8	4.7	4
CRI05	234.8	82.4	72.7	21.3	1.8	31.2	70.9	2	54.2	28.8	37	33.4	7.3	4.7	28.6	6.4	0.6	11.2	3.3	3.2
GCA06	420.7	93.8	90.8	29.6	2.4	61.3	75.4	1.3	58.5	35.1	42	29.4	8.9	11	28.6	7	0.4	13.8	4.6	4.4
GCA07	505.4	111.8	98.2	35.4	2.3	68	78.2	1.2	63.1	35.2	42.2	21.2	6.6	6	30.6	9.3	1.1	14.5	4.4	4.1
GCA08	537	110.1	98.4	33.61	2	71.6	78.3	1.3	66.6	33.2	45	33.4	9.9	7.5	28.6	7.9	0.4	10.1	4.9	4.4
GCA09	267.8	93.8	72.9	24.4	1.6	37.7	72.4	1.3	58.4	31.49	36.1	22.5	8.5	5.4	25.5	6	1.2	12.1	7.8	7.1
GCA10	349.3	118.3	73.4	23	2.5	61.7	70.5	1.4	68.9	32.2	41.4	28.9	9.3	10	38.2	8.8	1	16.6	3.7	3.9
GCA11	402.5	102.7	86.1	24.7	1.9	52.7	75.3	1.6	66.4	36.7	57.2	46.1	11.7	7.2	28.6	6.2	0.9	15.5	2.8	2.5
GCA12	345	75.1	89.6	31.2	2.5	56.3	73	1.2	59	35.6	36.7	30.2	8.6	4.6	24.8	6.4	0.8	5.7	9.6	9.3
CRI13	458.6	91.7	94.5	31.5	2.9	76	73.6	1.3	54.7	36.3	44.9	24.8	7.8	10.2	27	6.3	1	12.5	3.1	2.7
CRI14	331	94.9	82.3	27.1	1.5	42.5	76	1	66.8	33.9	37	20.7	9.8	5.5	25.1	6.5	1.1	17.3	3.1	3.2
CRI15	302	97.4	74.7	24.3	1.8	47.7	71.5	1.1	60.1	33.6	38.5	16.6	8.9	7	25.5	6.2	0.3	13.6	2.9	2.8
