"Model","Chisq","Df","PValue","GFI","AGFI","RMSEA"
"Sapote M0",44.333,20,0.001358,0.856,0.741,0.14
"Sapote M1",36.925,19,0.008108,0.875,0.764,0.123
"Sapote M2",40.919,19,0.002474,0.864,0.741,0.136
"Sapote M3",23.634,19,0.210568,0.919,0.847,0.063
"Sapote M4",33.511,18,0.014466,0.885,0.769,0.118
"StarApple M0",51.609,20,0.00013,0.819,0.675,0.181
"StarApple M1",31.25,19,0.037891,0.867,0.747,0.116
"StarApple M2",37.56,19,0.006747,0.854,0.723,0.143
"StarApple M3",17.201,18,0.509304,0.924,0.848,0
"StarApple M4",13.292,17,0.716444,0.941,0.875,0
