"Species","Path","Parameter","Estimate","SE","WaldZ","PValue"
"Mamey sapote","FRW -> PET","b01",0.2988,0.1212,2.4655,0.01368
"Mamey sapote","FRW -> PEW","b02",0.77,0.0465,16.5614,0
"Mamey sapote","FRW -> FRD","b03",1.2172,0.0628,19.3925,0
"Mamey sapote","PET -> PEW","b04",0.3513,0.0465,7.5567,4.13e-14
"Mamey sapote","FRL -> FRD","b05",-0.4605,0.0628,-7.3365,2.192e-13
"Mamey sapote","PEW -> FRL","b06",0.7825,0.0791,9.8943,0
"Mamey sapote","FRL -> SEL","b07",0.8277,0.0713,11.6159,0
"Mamey sapote","SEL -> SEW","b08",0.5675,0.1046,5.4271,5.728e-08
"Mamey sapote","SEW -> SED","b09",0.6436,0.0972,6.6209,3.571e-11
"Star apple","FRW -> PET","b01",0.4243,0.1307,3.2462,0.00117
"Star apple","FRW -> PEW","b02",0.6317,0.0732,8.6341,0
"Star apple","FRW -> FRD","b03",0.8936,0.0797,11.2177,0
"Star apple","FRW -> FRL","b04",0.924,0.0552,16.7407,0
"Star apple","PET -> PEW","b05",0.2851,0.0304,9.3762,0
"Star apple","FRL -> PEW","b06",0.2052,0.072,2.8488,0.004388
"Star apple","PEW -> FRD","b07",0.0945,0.0798,1.1848,0.2361
"Star apple","FRD -> SEW","b08",0.57,0.1186,4.8057,1.542e-06
"Star apple","SEW -> SED","b09",0.3929,0.1163,3.3798,0.0007254
"Star apple","SED -> SEL","b10",0.589,0.1168,5.0451,4.534e-07
"Star apple","FRW -> SED","b11",0.4484,0.1163,3.8567,0.0001149
