"Species","Method","Component","Support","SupportType"
"Mamey sapote","IAMB alpha = 0.05","FRW -- FRD",100,"connection occurrence"
"Mamey sapote","IAMB alpha = 0.05","FRL -- SEL",100,"connection occurrence"
"Mamey sapote","IAMB alpha = 0.05","PET -- PEW",100,"connection occurrence"
"Mamey sapote","IAMB alpha = 0.05","SEL -- SEW",100,"connection occurrence"
"Mamey sapote","IAMB alpha = 0.05","SED -- SEW",100,"connection occurrence"
"Mamey sapote","IAMB alpha = 0.05","FRL -- PEW",98.41,"connection occurrence"
"Mamey sapote","IAMB alpha = 0.05","FRW -- PET",90.48,"connection occurrence"
"Mamey sapote","IAMB alpha = 0.05","FRW -- PEW",90.48,"connection occurrence"
"Mamey sapote","IAMB alpha = 0.20","FRW -- FRD",100,"connection occurrence"
"Mamey sapote","IAMB alpha = 0.20","FRL -- PEW",100,"connection occurrence"
"Mamey sapote","IAMB alpha = 0.20","FRL -- SEL",100,"connection occurrence"
"Mamey sapote","IAMB alpha = 0.20","SEL -- SEW",100,"connection occurrence"
"Mamey sapote","IAMB alpha = 0.20","SED -- SEW",100,"connection occurrence"
"Mamey sapote","IAMB alpha = 0.20","FRW -> PEW",92.06,"direction recovery"
"Mamey sapote","IAMB alpha = 0.20","PET -> PEW",90.48,"direction recovery"
"Mamey sapote","Tabu search","FRW -> FRD",100,"direction recovery"
"Mamey sapote","Tabu search","FRW -> PEW",100,"direction recovery"
"Mamey sapote","Tabu search","FRL -> FRD",100,"direction recovery"
"Mamey sapote","Tabu search","PEW -> FRL",100,"direction recovery"
"Mamey sapote","Tabu search","FRL -> SEL",100,"direction recovery"
"Mamey sapote","Tabu search","PET -> PEW",100,"direction recovery"
"Mamey sapote","Tabu search","SEL -> SEW",100,"direction recovery"
"Mamey sapote","Tabu search","SEW -> SED",96.83,"direction recovery"
"Star apple","IAMB alpha = 0.05","FRW -- FRD",100,"connection occurrence"
"Star apple","IAMB alpha = 0.05","PET -- PEW",100,"connection occurrence"
"Star apple","IAMB alpha = 0.05","SEL -- SED",100,"connection occurrence"
"Star apple","IAMB alpha = 0.05","SED -- SEW",100,"connection occurrence"
"Star apple","IAMB alpha = 0.05","FRW -- FRL",89.8,"connection occurrence"
"Star apple","IAMB alpha = 0.20","FRW -- FRL",100,"connection occurrence"
"Star apple","IAMB alpha = 0.20","FRW -- FRD",100,"connection occurrence"
"Star apple","IAMB alpha = 0.20","FRL -- PEW",100,"connection occurrence"
"Star apple","IAMB alpha = 0.20","PET -- PEW",100,"connection occurrence"
"Star apple","IAMB alpha = 0.20","SEL -- SED",100,"connection occurrence"
"Star apple","IAMB alpha = 0.20","SED -- SEW",100,"connection occurrence"
"Star apple","Tabu search","FRW -> FRD",100,"direction recovery"
"Star apple","Tabu search","PEW -> FRD",100,"direction recovery"
"Star apple","Tabu search","SED -> SEW",95.92,"direction recovery"
"Star apple","Tabu search","FRW -> PET",93.88,"direction recovery"
"Star apple","Tabu search","FRW -> SEW",93.88,"direction recovery"
"Star apple","Tabu search","FRD -> SEW",93.88,"direction recovery"
"Star apple","Tabu search","FRW -> PEW",87.76,"direction recovery"
"Star apple","Tabu search","FRL -> PEW",87.76,"direction recovery"
"Star apple","Tabu search","FRW -> SED",81.63,"direction recovery"
